'Classifier','train_accuracy','test_accuracy','fit_time','score_time','features','settings'
'sklearn.svm.classes.SVC auto',0.554262238959,0.468735737106,8.53345608711,2.62715506554,4,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.552550496405,0.465540848927,10.0733749866,3.41024804115,11,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.36243295675,0.314924691921,19.1331839561,6.31505393982,27,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.362775305261,0.310360565952,33.1429669857,14.9050180912,63,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.41036174826,0.318575992697,56.8933050632,29.1640019417,146,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.459089352961,0.330442720219,87.096198082,58.2364468575,336,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.457719958918,0.335919671383,158.440590858,139.513062,774,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.44539541253,0.330442720219,344.140087843,358.929872036,1779,'class_weight=auto'
'sklearn.svm.classes.SVC auto',0.417208718475,0.319488817891,1133.55531597,1156.58786488,4087,'class_weight=auto'
'sklearn.svm.classes.SVC',0.572520826201,0.554084892743,1.61074900627,0.98451590538,1,''
'sklearn.svm.classes.SVC',0.583932443227,0.542674577818,2.05377388,1.30416083336,4,''
'sklearn.svm.classes.SVC',0.583932443227,0.543130990415,2.49101400375,1.78572511673,11,''
'sklearn.svm.classes.SVC',0.584046559397,0.543130990415,4.34636616707,3.27204489708,27,''
'sklearn.svm.classes.SVC',0.581878352163,0.54997717937,7.83205699921,6.37163710594,63,''
'sklearn.svm.classes.SVC',0.583133630035,0.556823368325,19.6449730396,16.5963070393,146,''
'sklearn.svm.classes.SVC',0.581764235992,0.564125969877,42.0361630917,36.4199819565,336,''
'sklearn.svm.classes.SVC',0.578454867055,0.570972158832,84.987830162,81.9254131317,774,''
'sklearn.svm.classes.SVC',0.571722013009,0.575536284801,180.474938869,174.44336915,1779,''
'sklearn.svm.classes.SVC',0.566016204496,0.576449109995,418.192299128,430.427150011,4087,''
'sklearn.svm.classes.SVC',0.566016204496,0.576449109995,929.790102005,934.530323982,9389,''
'sklearn.svm.classes.SVC',0.566016204496,0.576449109995,1008.78516197,1027.95066285,10000,''
'sklearn.svm.classes.SVC',0.566016204496,0.576449109995,2165.31365299,2194.35499096,21568,''
'sklearn.tree.tree.DecisionTreeClassifier',0.572520826201,0.554084892743,0.00377821922302,0.00163412094116,1,''
'sklearn.tree.tree.DecisionTreeClassifier',0.584046559397,0.542674577818,0.00210499763489,0.00121998786926,4,''
'sklearn.tree.tree.DecisionTreeClassifier',0.584731256419,0.542218165221,0.00650119781494,0.00167298316956,11,''
'sklearn.tree.tree.DecisionTreeClassifier',0.586899463654,0.544500228206,0.0138618946075,0.0021059513092,27,''
'sklearn.tree.tree.DecisionTreeClassifier',0.601848681958,0.518028297581,0.0432600975037,0.00384998321533,63,''
'sklearn.tree.tree.DecisionTreeClassifier',0.771311194796,0.425376540393,0.219923019409,0.00809502601624,146,''
'sklearn.tree.tree.DecisionTreeClassifier',0.967020426794,0.390689183021,0.744670152664,0.0159230232239,336,''
'sklearn.tree.tree.DecisionTreeClassifier',0.990642474039,0.408489274304,2.06654810905,0.0278360843658,774,''
'sklearn.tree.tree.DecisionTreeClassifier',0.998288257446,0.408032861707,6.48043608665,0.0729701519012,1779,''
'sklearn.tree.tree.DecisionTreeClassifier',0.998516489787,0.418986764035,19.6886048317,0.379392147064,4087,''
'sklearn.tree.tree.DecisionTreeClassifier',0.998858838297,0.419443176632,54.3122467995,0.73008108139,9389,''
'sklearn.tree.tree.DecisionTreeClassifier',0.998858838297,0.417617526244,58.305095911,0.816135883331,10000,''
'sklearn.tree.tree.DecisionTreeClassifier',0.998858838297,0.418073938841,136.149377823,4.06459593773,21568,''
